street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon
Van Noordtkade,178,https://www.funda.nl/detail/koop/amsterdam/appartement-van-noordtkade-178/43066488/,47,400000.0,8510.64,Amsterdam,Netherlands,"Van Noordtkade 178, Amsterdam, Netherlands",52.389079,4.8817897
Van Hogendorpstraat,137-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hogendorpstraat-137-2/43065188/,42,375000.0,8928.57,Amsterdam,Netherlands,"Van Hogendorpstraat 137-2, Amsterdam, Netherlands",52.3830319,4.8739421
Bilderdijkstraat,198-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-bilderdijkstraat-198-1a/43065680/,32,335000.0,10468.75,Amsterdam,Netherlands,"Bilderdijkstraat 198-1a, Amsterdam, Netherlands",52.3663802,4.8724169
Spaarndammerstraat,8-d,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-8-d/43065543/,58,475000.0,8189.66,Amsterdam,Netherlands,"Spaarndammerstraat 8-d, Amsterdam, Netherlands",52.3866638,4.882376
Bestevaerstraat,80-3,https://www.funda.nl/detail/koop/amsterdam/appartement-bestevaerstraat-80-3/43054237/,57,450000.0,7894.74,Amsterdam,Netherlands,"Bestevaerstraat 80-3, Amsterdam, Netherlands",52.3755897,4.85949
Derkinderenstraat,69-3,https://www.funda.nl/detail/koop/amsterdam/appartement-derkinderenstraat-69-3/43054415/,71,475000.0,6690.14,Amsterdam,Netherlands,"Derkinderenstraat 69-3, Amsterdam, Netherlands",52.3649677,4.8400592
Van Oldenbarneveldtstraat,89-5,https://www.funda.nl/detail/koop/amsterdam/appartement-van-oldenbarneveldtstraat-89-5/43053313/,45,425000.0,9444.44,Amsterdam,Netherlands,"Van Oldenbarneveldtstraat 89-5, Amsterdam, Netherlands",52.3740534,4.873944
Kinkerstraat,374-2,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-374-2/43053679/,47,450000.0,9574.47,Amsterdam,Netherlands,"Kinkerstraat 374-2, Amsterdam, Netherlands",52.3645512,4.861133
Passeerdersstraat,100,https://www.funda.nl/detail/koop/amsterdam/appartement-passeerdersstraat-100/43052158/,49,445000.0,9081.63,Amsterdam,Netherlands,"Passeerdersstraat 100, Amsterdam, Netherlands",52.3674651,4.8801421
Fannius Scholtenstraat,62-1,https://www.funda.nl/detail/koop/amsterdam/appartement-fannius-scholtenstraat-62-1/43052157/,33,365000.0,11060.61,Amsterdam,Netherlands,"Fannius Scholtenstraat 62-1, Amsterdam, Netherlands",52.3833921,4.8740554
Van Noordtkade,158,https://www.funda.nl/detail/koop/amsterdam/appartement-van-noordtkade-158/43052129/,66,500000.0,7575.76,Amsterdam,Netherlands,"Van Noordtkade 158, Amsterdam, Netherlands",52.3890516,4.8817755
Groen Van Prinstererstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-groen-van-prinstererstraat-33-2/43052878/,43,390000.0,9069.77,Amsterdam,Netherlands,"Groen Van Prinstererstraat 33-2, Amsterdam, Netherlands",52.3836088,4.8722171
Solebaystraat,68-3,https://www.funda.nl/detail/koop/amsterdam/appartement-solebaystraat-68-3/43052403/,49,375000.0,7653.06,Amsterdam,Netherlands,"Solebaystraat 68-3, Amsterdam, Netherlands",52.383846,4.8546474
Houtmankade,71-2,https://www.funda.nl/detail/koop/amsterdam/appartement-houtmankade-71-2/43051037/,51,450000.0,8823.53,Amsterdam,Netherlands,"Houtmankade 71-2, Amsterdam, Netherlands",52.3876709,4.8847
Lucellestraat,26-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lucellestraat-26-1/43051990/,51,400000.0,7843.14,Amsterdam,Netherlands,"Lucellestraat 26-1, Amsterdam, Netherlands",52.3795721,4.8496902
Heer Halewijnstraat,7-h,https://www.funda.nl/detail/koop/amsterdam/appartement-heer-halewijnstraat-7-h/43051700/,56,450000.0,8035.71,Amsterdam,Netherlands,"Heer Halewijnstraat 7-h, Amsterdam, Netherlands",52.3772317,4.8547562
Elisabeth Wolffstraat,94-2,https://www.funda.nl/detail/koop/amsterdam/appartement-elisabeth-wolffstraat-94-2/43059274/,53,485000.0,9150.94,Amsterdam,Netherlands,"Elisabeth Wolffstraat 94-2, Amsterdam, Netherlands",52.3685982,4.8678392
Jasper Leijnsenstraat,5-3,https://www.funda.nl/detail/koop/amsterdam/appartement-jasper-leijnsenstraat-5-3/43059655/,44,395000.0,8977.27,Amsterdam,Netherlands,"Jasper Leijnsenstraat 5-3, Amsterdam, Netherlands",52.3765277,4.8623132
Bos En Lommerplantsoen,73-p,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-73-p/43058378/,31,250000.0,8064.52,Amsterdam,Netherlands,"Bos En Lommerplantsoen 73-p, Amsterdam, Netherlands",52.3757914,4.8441928
Willem De Zwijgerlaan,207-2,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-207-2/43058256/,65,495000.0,7615.38,Amsterdam,Netherlands,"Willem De Zwijgerlaan 207-2, Amsterdam, Netherlands",52.376907,4.8626606
Van Hallstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hallstraat-33-2/43058277/,50,425000.0,8500.0,Amsterdam,Netherlands,"Van Hallstraat 33-2, Amsterdam, Netherlands",52.3843548,4.8701667
Haarlemmerdijk,178-b,https://www.funda.nl/detail/koop/amsterdam/appartement-haarlemmerdijk-178-b/43057973/,48,425000.0,8854.17,Amsterdam,Netherlands,"Haarlemmerdijk 178-b, Amsterdam, Netherlands",52.3841212,4.8847696
Van Spilbergenstraat,69-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-69-2/43057866/,50,450000.0,9000.0,Amsterdam,Netherlands,"Van Spilbergenstraat 69-2, Amsterdam, Netherlands",52.366405,4.8516702
Willem De Zwijgerlaan,148-2,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-148-2/43057703/,48,425000.0,8854.17,Amsterdam,Netherlands,"Willem De Zwijgerlaan 148-2, Amsterdam, Netherlands",52.3745648,4.8634522
Hertspieghelweg,50-1,https://www.funda.nl/detail/koop/amsterdam/appartement-hertspieghelweg-50-1/43056359/,65,450000.0,6923.08,Amsterdam,Netherlands,"Hertspieghelweg 50-1, Amsterdam, Netherlands",52.381185,4.8525787
Van Beuningenstraat,1-a,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-1-a/43056390/,57,425000.0,7456.14,Amsterdam,Netherlands,"Van Beuningenstraat 1-a, Amsterdam, Netherlands",52.3852654,4.8791307
Johannes Meewisstraat,50-3,https://www.funda.nl/detail/koop/amsterdam/appartement-johannes-meewisstraat-50-3/43056083/,57,360000.0,6315.79,Amsterdam,Netherlands,"Johannes Meewisstraat 50-3, Amsterdam, Netherlands",52.3842786,4.8353859
Van Beuningenstraat,154-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-beuningenstraat-154-2/43056405/,38,350000.0,9210.53,Amsterdam,Netherlands,"Van Beuningenstraat 154-2, Amsterdam, Netherlands",52.3819692,4.8733521
Nachtwachtlaan,442,https://www.funda.nl/detail/koop/amsterdam/appartement-nachtwachtlaan-442/43055875/,59,425000.0,7203.39,Amsterdam,Netherlands,"Nachtwachtlaan 442, Amsterdam, Netherlands",52.3635816,4.8434826
Bartholomeus Diazstraat,3-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bartholomeus-diazstraat-3-1/43055478/,47,425000.0,9042.55,Amsterdam,Netherlands,"Bartholomeus Diazstraat 3-1, Amsterdam, Netherlands",52.3702141,4.8552659
De Rijpgracht,27-1,https://www.funda.nl/detail/koop/amsterdam/appartement-de-rijpgracht-27-1/43944997/,52,450000.0,8653.85,Amsterdam,Netherlands,"De Rijpgracht 27-1, Amsterdam, Netherlands",52.3770991,4.8614102
Palmgracht,23-2,https://www.funda.nl/detail/koop/amsterdam/appartement-palmgracht-23-2/43943968/,45,425000.0,9444.44,Amsterdam,Netherlands,"Palmgracht 23-2, Amsterdam, Netherlands",52.381997,4.8841177
Da Costakade,174-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-da-costakade-174-1a/43943557/,35,375000.0,10714.29,Amsterdam,Netherlands,"Da Costakade 174-1a, Amsterdam, Netherlands",52.3673634,4.8732277
Hoofdweg,285-3,https://www.funda.nl/detail/koop/amsterdam/appartement-hoofdweg-285-3/43942990/,57,499000.0,8754.39,Amsterdam,Netherlands,"Hoofdweg 285-3, Amsterdam, Netherlands",52.3682566,4.8516917
Esmoreitstraat,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-esmoreitstraat-41-2/43942614/,53,425000.0,8018.87,Amsterdam,Netherlands,"Esmoreitstraat 41-2, Amsterdam, Netherlands",52.3778714,4.8512233
Van Spilbergenstraat,121-3,https://www.funda.nl/detail/koop/amsterdam/appartement-van-spilbergenstraat-121-3/43941878/,50,450000.0,9000.0,Amsterdam,Netherlands,"Van Spilbergenstraat 121-3, Amsterdam, Netherlands",52.3679564,4.8509173
