street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood
Bartholomeus Diazstraat,3-1,https://www.funda.nl/detail/koop/amsterdam/appartement-bartholomeus-diazstraat-3-1/43063198/,47,400000.0,8510.64,Amsterdam,Netherlands,"Bartholomeus Diazstraat 3-1, Amsterdam, Netherlands",52.3702141,4.8552659,baarsjes
Sara Burgerhartstraat,38-2,https://www.funda.nl/detail/koop/amsterdam/appartement-sara-burgerhartstraat-38-2/43063838/,59,450000.0,7627.12,Amsterdam,Netherlands,"Sara Burgerhartstraat 38-2, Amsterdam, Netherlands",52.3829039,4.8490622,bos en lommer
Bloys Van Treslongstraat,10-h,https://www.funda.nl/detail/koop/amsterdam/appartement-bloys-van-treslongstraat-10-h/43062411/,54,419000.0,7759.26,Amsterdam,Netherlands,"Bloys Van Treslongstraat 10-h, Amsterdam, Netherlands",52.3759435,4.8621289,erasmusbuurt
Lex Althoffstraat,5-h,https://www.funda.nl/detail/koop/amsterdam/appartement-lex-althoffstraat-5-h/43061194/,68,385000.0,5661.76,Amsterdam,Netherlands,"Lex Althoffstraat 5-h, Amsterdam, Netherlands",52.3794627,4.8300264,Unknown
Nova Zemblastraat,241,https://www.funda.nl/detail/koop/amsterdam/appartement-nova-zemblastraat-241/43060302/,69,500000.0,7246.38,Amsterdam,Netherlands,"Nova Zemblastraat 241, Amsterdam, Netherlands",52.3901334,4.8823231,spaarndammerbuurt
Spaarndammerstraat,20-f,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-20-f/43069059/,37,369000.0,9972.97,Amsterdam,Netherlands,"Spaarndammerstraat 20-f, Amsterdam, Netherlands",52.3869214,4.881741,spaarndammerbuurt
Jan Van Riebeekstraat,5-1,https://www.funda.nl/detail/koop/amsterdam/appartement-jan-van-riebeekstraat-5-1/43068283/,55,495000.0,9000.0,Amsterdam,Netherlands,"Jan Van Riebeekstraat 5-1, Amsterdam, Netherlands",52.3706514,4.8585939,baarsjes
Jacob Van Lennepkade,418-h,https://www.funda.nl/detail/koop/amsterdam/appartement-jacob-van-lennepkade-418-h/43068658/,47,450000.0,9574.47,Amsterdam,Netherlands,"Jacob Van Lennepkade 418-h, Amsterdam, Netherlands",52.3621415,4.8588271,Unknown
Coppelstockstraat,41-2,https://www.funda.nl/detail/koop/amsterdam/appartement-coppelstockstraat-41-2/43067387/,50,450000.0,9000.0,Amsterdam,Netherlands,"Coppelstockstraat 41-2, Amsterdam, Netherlands",52.3761409,4.8601881,erasmusbuurt
Bloys Van Treslongstraat,22-2,https://www.funda.nl/detail/koop/amsterdam/appartement-bloys-van-treslongstraat-22-2/43067746/,50,495000.0,9900.0,Amsterdam,Netherlands,"Bloys Van Treslongstraat 22-2, Amsterdam, Netherlands",52.3758957,4.8616005,erasmusbuurt
Willem De Zwijgerlaan,132-3,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-132-3/43066654/,56,493500.0,8812.5,Amsterdam,Netherlands,"Willem De Zwijgerlaan 132-3, Amsterdam, Netherlands",52.37417,4.8635745,erasmusbuurt
Van Noordtkade,178,https://www.funda.nl/detail/koop/amsterdam/appartement-van-noordtkade-178/43066488/,47,400000.0,8510.64,Amsterdam,Netherlands,"Van Noordtkade 178, Amsterdam, Netherlands",52.389079,4.8817897,spaarndammerbuurt
Frederik Hendrikstraat,22-1,https://www.funda.nl/detail/koop/amsterdam/appartement-frederik-hendrikstraat-22-1/43065202/,52,495000.0,9519.23,Amsterdam,Netherlands,"Frederik Hendrikstraat 22-1, Amsterdam, Netherlands",52.3777406,4.8744732,frederik hendrik buurt
Van Hogendorpstraat,137-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hogendorpstraat-137-2/43065188/,42,375000.0,8928.57,Amsterdam,Netherlands,"Van Hogendorpstraat 137-2, Amsterdam, Netherlands",52.3830319,4.8739421,staatsliedenbuurt
Bilderdijkstraat,198-1a,https://www.funda.nl/detail/koop/amsterdam/appartement-bilderdijkstraat-198-1a/43065680/,32,335000.0,10468.75,Amsterdam,Netherlands,"Bilderdijkstraat 198-1a, Amsterdam, Netherlands",52.3663802,4.8724169,amsterdam-west
Spaarndammerstraat,8-d,https://www.funda.nl/detail/koop/amsterdam/appartement-spaarndammerstraat-8-d/43065543/,58,475000.0,8189.66,Amsterdam,Netherlands,"Spaarndammerstraat 8-d, Amsterdam, Netherlands",52.3866638,4.882376,spaarndammerbuurt
Bestevaerstraat,80-3,https://www.funda.nl/detail/koop/amsterdam/appartement-bestevaerstraat-80-3/43054237/,57,450000.0,7894.74,Amsterdam,Netherlands,"Bestevaerstraat 80-3, Amsterdam, Netherlands",52.3755897,4.85949,erasmusbuurt
Derkinderenstraat,69-3,https://www.funda.nl/detail/koop/amsterdam/appartement-derkinderenstraat-69-3/43054415/,71,475000.0,6690.14,Amsterdam,Netherlands,"Derkinderenstraat 69-3, Amsterdam, Netherlands",52.3649677,4.8400592,postjesweg
Van Oldenbarneveldtstraat,89-5,https://www.funda.nl/detail/koop/amsterdam/appartement-van-oldenbarneveldtstraat-89-5/43053313/,45,425000.0,9444.44,Amsterdam,Netherlands,"Van Oldenbarneveldtstraat 89-5, Amsterdam, Netherlands",52.3740534,4.873944,frederik hendrik buurt
Kinkerstraat,374-2,https://www.funda.nl/detail/koop/amsterdam/appartement-kinkerstraat-374-2/43053679/,47,450000.0,9574.47,Amsterdam,Netherlands,"Kinkerstraat 374-2, Amsterdam, Netherlands",52.3645512,4.861133,amsterdam-west
Passeerdersstraat,100,https://www.funda.nl/detail/koop/amsterdam/appartement-passeerdersstraat-100/43052158/,49,445000.0,9081.63,Amsterdam,Netherlands,"Passeerdersstraat 100, Amsterdam, Netherlands",52.3674651,4.8801421,jordaan
Fannius Scholtenstraat,62-1,https://www.funda.nl/detail/koop/amsterdam/appartement-fannius-scholtenstraat-62-1/43052157/,33,365000.0,11060.61,Amsterdam,Netherlands,"Fannius Scholtenstraat 62-1, Amsterdam, Netherlands",52.3833921,4.8740554,staatsliedenbuurt
Van Noordtkade,158,https://www.funda.nl/detail/koop/amsterdam/appartement-van-noordtkade-158/43052129/,66,500000.0,7575.76,Amsterdam,Netherlands,"Van Noordtkade 158, Amsterdam, Netherlands",52.3890516,4.8817755,spaarndammerbuurt
Groen Van Prinstererstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-groen-van-prinstererstraat-33-2/43052878/,43,390000.0,9069.77,Amsterdam,Netherlands,"Groen Van Prinstererstraat 33-2, Amsterdam, Netherlands",52.3836088,4.8722171,staatsliedenbuurt
Solebaystraat,68-3,https://www.funda.nl/detail/koop/amsterdam/appartement-solebaystraat-68-3/43052403/,49,375000.0,7653.06,Amsterdam,Netherlands,"Solebaystraat 68-3, Amsterdam, Netherlands",52.383846,4.8546474,bos en lommer
Houtmankade,71-2,https://www.funda.nl/detail/koop/amsterdam/appartement-houtmankade-71-2/43051037/,51,450000.0,8823.53,Amsterdam,Netherlands,"Houtmankade 71-2, Amsterdam, Netherlands",52.3876709,4.8847,houthavens
Lucellestraat,26-1,https://www.funda.nl/detail/koop/amsterdam/appartement-lucellestraat-26-1/43051990/,51,400000.0,7843.14,Amsterdam,Netherlands,"Lucellestraat 26-1, Amsterdam, Netherlands",52.3795721,4.8496902,bos en lommer
Heer Halewijnstraat,7-h,https://www.funda.nl/detail/koop/amsterdam/appartement-heer-halewijnstraat-7-h/43051700/,56,450000.0,8035.71,Amsterdam,Netherlands,"Heer Halewijnstraat 7-h, Amsterdam, Netherlands",52.3772317,4.8547562,bos en lommer
Elisabeth Wolffstraat,94-2,https://www.funda.nl/detail/koop/amsterdam/appartement-elisabeth-wolffstraat-94-2/43059274/,53,485000.0,9150.94,Amsterdam,Netherlands,"Elisabeth Wolffstraat 94-2, Amsterdam, Netherlands",52.3685982,4.8678392,amsterdam-west
Jasper Leijnsenstraat,5-3,https://www.funda.nl/detail/koop/amsterdam/appartement-jasper-leijnsenstraat-5-3/43059655/,44,395000.0,8977.27,Amsterdam,Netherlands,"Jasper Leijnsenstraat 5-3, Amsterdam, Netherlands",52.3765277,4.8623132,erasmusbuurt
Bos En Lommerplantsoen,73-p,https://www.funda.nl/detail/koop/amsterdam/appartement-bos-en-lommerplantsoen-73-p/43058378/,31,250000.0,8064.52,Amsterdam,Netherlands,"Bos En Lommerplantsoen 73-p, Amsterdam, Netherlands",52.3757914,4.8441928,bos en lommer
Willem De Zwijgerlaan,207-2,https://www.funda.nl/detail/koop/amsterdam/appartement-willem-de-zwijgerlaan-207-2/43058256/,65,495000.0,7615.38,Amsterdam,Netherlands,"Willem De Zwijgerlaan 207-2, Amsterdam, Netherlands",52.376907,4.8626606,erasmusbuurt
Van Hallstraat,33-2,https://www.funda.nl/detail/koop/amsterdam/appartement-van-hallstraat-33-2/43058277/,50,425000.0,8500.0,Amsterdam,Netherlands,"Van Hallstraat 33-2, Amsterdam, Netherlands",52.3843548,4.8701667,staatsliedenbuurt
