street_name,number,url,m2,price,price/m2,city,country,full_address,lat,lon,neighborhood,indeling_kamers,indeling_badkamers,indeling_voorzieningen,indeling_woonlagen,indeling_verdieping,indeling_energielabel,indeling_isolatie,indeling_verwarming,indeling_warm_water,kadaster_eigendomssituatie,kadaster_lasten,listing_data_soort_appartement,listing_data_soort_bouw,listing_data_bouwjaar,listing_data_soort_dak,listing_data_gebouwgebonden_buitenruimte_m2,listing_data_externe_bergruimte_m2,listing_data_inhoud_m3,overdracht_vraagprijs,overdracht_prijs_per_m2,overdracht_aangeboden_sinds,overdracht_status,overdracht_aanvaarding,overdracht_servicekosten,energy_label,surface_gebouwgebonden_buitenruimte_m2,surface_externe_bergruimte_m2,surface_inhoud_m3,aangeboden_date,servicekosten_num,has_berging,has_balkon,kadaster_lasten_price,kadaster_lasten_year,eigendom_year,woonlaag_num,num_kamers,num_badkamers,woonlagen_num,beschikbaar
Burgemeester Cramergracht,49,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-49/43941383/,76,340000,4473.68,Amsterdam,Netherlands,"Burgemeester Cramergracht 49, Amsterdam, Netherlands",52.3729317,4.8323538,Unknown,4 kamers (3 slaapkamers),,,1 woonlaag,4e woonlaag,Niet beschikbaar,,Blokverwarming,Elektrische boiler,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2030),"€ 59,89 per jaar met optie tot afkopen",Bovenwoning (appartement),Bestaande bouw,1957,Plat dak bedekt met bitumineuze dakbedekking,6.0,10.0,183.0,€ 340.000 kosten koper,€ 4.474,6 juni 2025,Beschikbaar,In overleg,"€ 289,87 per maand",Niet beschikbaar,6.0,10.0,183.0,2025-06-06,289.87,True,True,59.89,,2030,4.0,4,0,1,True
Burgemeester Hogguerstraat,315,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-315/43943314/,90,425000,4722.22,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 315, Amsterdam, Netherlands",52.3718878,4.8305029,Unknown,1 badkamer en 1 apart toilet,,"Lift, natuurlijke ventilatie, en TV kabel",1 woonlaag,11e woonlaag,AWat betekent dit?,Dubbel glas,Blokverwarming en stadsverwarming,Centrale voorziening,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,16.0,5.0,293.0,€ 425.000 kosten koper,€ 4.722,6 juni 2025,Beschikbaar,In overleg,,A,16.0,5.0,293.0,2025-06-06,,True,True,0.0,2099.0,0,11.0,,1,1,True
Burgemeester Hogguerstraat,581,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-581/43936887/,91,435000,4780.22,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 581, Amsterdam, Netherlands",52.3722437,4.829309,Unknown,1 badkamer en 1 apart toilet,,"Lift, mechanische ventilatie, en natuurlijke ventilatie",1 woonlaag,,CWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-12-2035),"€ 107,96 per jaar met optie tot afkopen",Bovenwoning (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,17.0,6.0,301.0,€ 435.000 kosten koper,€ 4.780,3 weken,,In overleg,,C,17.0,6.0,301.0,2025-05-27,,True,True,107.96,,2035,,,1,1,False
Burgemeester Cramergracht,17,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-17/43916609/,75,365000,4866.67,Amsterdam,Netherlands,"Burgemeester Cramergracht 17, Amsterdam, Netherlands",52.3729134,4.8323548,Unknown,1 badkamer,,Lift en TV kabel,1 woonlaag,2e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming,Elektrische boiler,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-04-2030),"€ 57,17 per jaar",Galerijflat (appartement),Bestaande bouw,1957,Plat dak,6.0,,244.0,€ 365.000 kosten koper,€ 4.867,5 weken,,In overleg,"€ 304,17 per maand",C,6.0,,244.0,2025-05-13,304.17,False,True,57.17,,2030,2.0,,1,1,False
Sinjeur Semeynsstraat,78-1,https://www.funda.nl/detail/koop/amsterdam/appartement-sinjeur-semeynsstraat-78-1/43917775/,81,400000,4938.27,Amsterdam,Netherlands,"Sinjeur Semeynsstraat 78-1, Amsterdam, Netherlands",52.3813357,4.8442345,slotervaart,1 badkamer en 1 apart toilet,,"Douche, ligbad, en wastafel",1 woonlaag,,FWat betekent dit?,Muurisolatie,Blokverwarming,Elektrische boiler,Erfpacht,,Bovenwoning (appartement),Bestaande bouw,1961,,7.0,6.0,216.0,€ 400.000 kosten koper,€ 4.938,4 weken,Beschikbaar,In overleg,"€ 281,00 per maand",F,7.0,6.0,216.0,2025-05-20,281.0,True,True,,,0,,,1,1,True
Postjesweg,191,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-191/43056151/,80,400000,5000.0,Amsterdam,Netherlands,"Postjesweg 191, Amsterdam, Netherlands",52.3637288,4.8383865,postjesweg,1 badkamer en 1 apart toilet,,Lift,1 woonlaag,1e woonlaag,BWat betekent dit?,Dubbel glas,Blokverwarming,Geiser,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Bovenwoning (appartement),Bestaande bouw,1961,Plat dak bedekt met bitumineuze dakbedekking,4.0,7.0,209.0,€ 400.000 kosten koper,€ 5.000,11 juni 2025,Beschikbaar,In overleg,"€ 198,00 per maand",B,4.0,7.0,209.0,2025-06-11,198.0,True,True,0.0,2099.0,0,1.0,,1,1,True
Burgemeester Roellstraat,20-3,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-roellstraat-20-3/43959452/,70,350000,5000.0,Amsterdam,Netherlands,"Burgemeester Roellstraat 20-3, Amsterdam, Netherlands",52.3736234,4.8342849,slotervaart,4 kamers (3 slaapkamers),,Lift en TV kabel,1 woonlaag,3e woonlaag,EWat betekent dit?,Gedeeltelijk dubbel glas,Blokverwarming,Geiser,Lidmaatschapsrecht,,Bovenwoning (appartement),Bestaande bouw,1962,Plat dak bedekt met bitumineuze dakbedekking,10.0,6.0,236.0,€ 350.000 kosten koper,€ 5.000,2 maanden,Beschikbaar,In overleg,"€ 414,90 per maand",E,10.0,6.0,236.0,2025-04-17,414.9,True,True,,,-1,3.0,4,0,1,True
Burgemeester Cramergracht,73,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-73/43788375/,77,395000,5129.87,Amsterdam,Netherlands,"Burgemeester Cramergracht 73, Amsterdam, Netherlands",52.3729488,4.8323537,Unknown,1 badkamer en 1 apart toilet,,Lift,1 woonlaag,,CWat betekent dit?,,Blokverwarming,Elektrische boiler,,,Bovenwoning (appartement),Bestaande bouw,1957,,6.0,5.0,207.0,€ 395.000 kosten koper,€ 5.130,6+ maanden,,In overleg,,C,6.0,5.0,207.0,2024-12-17,,True,True,,,,,,1,1,False
Marnixstraat,48-1r,https://www.funda.nl/detail/koop/amsterdam/appartement-marnixstraat-48-1r/43968115/,92,485000,5271.74,Amsterdam,Netherlands,"Marnixstraat 48-1r, Amsterdam, Netherlands",52.3809572,4.8805163,jordaan,1 badkamer,,"Inloopdouche, toilet, en wastafel",3 woonlagen,1e woonlaag,Niet beschikbaar,Dubbel glas,Cv-ketel,Cv-ketel,Volle eigendom,,Bovenwoning,Bestaande bouw,1872,,,,286.0,€ 485.000 kosten koper,€ 5.272,2 maanden,,In overleg,"€ 187,00 per maand",Niet beschikbaar,,,286.0,2025-04-17,187.0,False,False,,,9999,1.0,,1,,False
Burgemeester Cramergracht,154,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-154/43910039/,74,395000,5337.84,Amsterdam,Netherlands,"Burgemeester Cramergracht 154, Amsterdam, Netherlands",52.3743179,4.8329248,Unknown,1 badkamer en 1 apart toilet,,Lift en TV kabel,1 woonlaag,,DWat betekent dit?,Dubbel glas,Blokverwarming,Elektrische boiler,Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1958,Plat dak bedekt met bitumineuze dakbedekking,12.0,6.0,256.0,€ 395.000 kosten koper,€ 5.338,4 weken,,In overleg,"€ 230,00 per maand",D,12.0,6.0,256.0,2025-05-20,230.0,True,True,0.0,2099.0,0,,,1,1,False
Postjesweg,369,https://www.funda.nl/detail/koop/amsterdam/appartement-postjesweg-369/43907703/,68,369000,5426.47,Amsterdam,Netherlands,"Postjesweg 369, Amsterdam, Netherlands",52.3637143,4.8372116,postjesweg,1 badkamer en 1 apart toilet,,Mechanische ventilatie en natuurlijke ventilatie,1 woonlaag,5e woonlaag,DWat betekent dit?,Dubbel glas en HR-glas,Blokverwarming,Geiser,Gemeentelijke erfpacht,"€ 122,07 per jaar",Bovenwoning (appartement),Bestaande bouw,1962,,4.0,7.0,224.0,€ 369.000 kosten koper,€ 5.426,5 weken,,In overleg,"€ 188,12 per maand",D,4.0,7.0,224.0,2025-05-13,188.12,True,True,122.07,,0,5.0,,1,1,False
Burgemeester Hogguerstraat,53,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-hogguerstraat-53/43906264/,77,420000,5454.55,Amsterdam,Netherlands,"Burgemeester Hogguerstraat 53, Amsterdam, Netherlands",52.3717989,4.830504,Unknown,1 badkamer en 1 apart toilet,,"Lift, natuurlijke ventilatie, en TV kabel",1 woonlaag,2e woonlaag,BWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht,"€ 158,30 per jaar",Galerijflat (appartement),Bestaande bouw,1965,Plat dak bedekt met bitumineuze dakbedekking,13.0,5.0,244.0,€ 420.000 kosten koper,€ 5.455,5 weken,,In overleg,,B,13.0,5.0,244.0,2025-05-13,,True,True,158.3,,0,2.0,,1,1,False
Burgemeester Cramergracht,162,https://www.funda.nl/detail/koop/amsterdam/appartement-burgemeester-cramergracht-162/43971464/,62,350000,5645.16,Amsterdam,Netherlands,"Burgemeester Cramergracht 162, Amsterdam, Netherlands",52.3743899,4.8329533,Unknown,1 badkamer en 1 apart toilet,,Lift en mechanische ventilatie,1 woonlaag,5e woonlaag,CWat betekent dit?,Dubbel glas,Blokverwarming,Centrale voorziening,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Galerijflat (appartement),Bestaande bouw,1957,Plat dak bedekt met bitumineuze dakbedekking,2.0,6.0,208.0,€ 350.000 kosten koper,€ 5.645,2 maanden,,In overleg,"€ 110,73 per maand",C,2.0,6.0,208.0,2025-04-17,110.73,True,True,0.0,2099.0,0,5.0,,1,1,False
Freek Oxstraat,17-3,https://www.funda.nl/detail/koop/amsterdam/appartement-freek-oxstraat-17-3/43909710/,57,325000,5701.75,Amsterdam,Netherlands,"Freek Oxstraat 17-3, Amsterdam, Netherlands",52.3793135,4.8288384,Unknown,1 badkamer en 1 apart toilet,,Mechanische ventilatie en TV kabel,2 woonlagen,5e woonlaag,EWat betekent dit?,Dubbel glas,Cv-ketel,Cv-ketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-05-2059,Bovenwoning (appartement),Bestaande bouw,,Zadeldak bedekt met pannen,4.0,3.0,214.0,€ 325.000 kosten koper,€ 5.702,5 weken,,In overleg,"€ 285,10 per maand",E,4.0,3.0,214.0,2025-05-13,285.1,True,True,0.0,2059.0,0,5.0,,1,,False
