full_address_processed,latitude,longitude
Zomerdijkstraat 10-2 Amsterdam,52.3425897,4.9043603
Reizigersweg 35 Amsterdam,52.4195016,4.8838542
Weesperzijde 36-3 Amsterdam,52.3563885,4.9072636
Ehrlichstraat 2-2 Amsterdam,52.3509739,4.9406831
Blasiusstraat 128-3 Amsterdam,52.3573994,4.9128164
Amsteldijk 80-3 Amsterdam,52.3525625,4.9079649
Funenpark 331 Amsterdam,52.3691402,4.9318374
Bonairestraat 15-2 Amsterdam,52.3603095,4.8552084
Weesperzijde 45-3 Amsterdam,52.3556886,4.9075209
Jan Bernardusstraat 21HR Amsterdam,52.3500341,4.9137302
Ceramplein 45 Amsterdam,52.3631631,4.9411376
Blasiusstraat 16-2 Amsterdam,52.3562207,4.9080433
Burmandwarsstraat 57 Amsterdam,52.3547133,4.9108631
Parnassiaveld 131 Duivendrecht,52.3278417,4.9342795
Mauritskade 95B Amsterdam,52.3642208,4.9240626
Welnastraat 527 Amsterdam,52.3387541,4.9207134
Goudsbloemstraat 107 D Amsterdam,52.3805668,4.8837962
Van Spilbergenstraat 27 H Amsterdam 1057 PW,52.3652831,4.8520067
Borgerstraat 200 H Amsterdam 1053 RD,52.3642062,4.8622823
Hoofdweg 380 2 Amsterdam 1056 DD,52.3723535,4.8493814
Gillis van Ledenberchstraat 2b 1052VG Amsterdam,52.3779659,4.8725321
Mr. P.N. Arntzeniusweg 14 2 Amsterdam,52.3561326,4.9335853
Van Walbeeckstraat 41 C Amsterdam,52.3610265,4.8507806
Klaversingel 71 Biddinghuizen,52.4536006,5.6869781
Homerusplein 92 Almere,52.3565593,5.1528885
Rozenwerf 195 Almere,52.3409563,5.222703
Ringdijk 191 Lelystad,52.4987963,5.4216112
Klooienberglaan box 37 0-ong Zwolle,,
Boterbloemweide 10 Swifterbant,52.564352,5.6389832
Melisse 22 Dronten,52.5080256,5.723576
Henri Taymansstraat 26 Zwolle,52.4993026,6.0880221
C.V. Ramanstraat 12 Almere,52.3579808,5.2877648
J.M. den Uylstraat 76 Amsterdam,52.381911,4.7901037
Van der Laenstraat 115 Zwolle,52.5060816,6.0967829
Kajuit 15 Almere,52.3866733,5.1802858
Peppengouw 33 Almere,52.345991,5.2130207
Haarlemmerweg 127-2 Amsterdam,52.385331,4.8735482
Texelstraat 65 Almere,52.4013914,5.304388
De Teugel 9 Biddinghuizen,52.4567833,5.6979546
Baetostraat 14-3 Amsterdam,52.379341,4.8482541
Adolphine Eduardine Kokplantsoen 64 Amsterdam,52.3805777,4.8168082
Rosarium 79 Almere,52.3898636,5.2821381
Elizabeth Anscombestraat 72 Almere,52.3367476,5.3404948
Lire 4 Dronten,52.534306,5.7000776
Groetstraat 164 Amsterdam,52.3935906,4.9520072
Van Beuningenstraat 1-C Amsterdam,52.3852655,4.8791311
Pinksterbloemweg 130 Almere,52.3919002,5.2840481
Forelstraat 6 Almere,52.3902732,5.233066
Trota van Salernostraat 21 Almere,52.3427647,5.3300302
Fokkestraat 6 Dronten,52.5185859,5.718141
Waterbies 88 Lelystad,52.4915202,5.4395839
Weversgilde 46 Dronten,52.5326054,5.6922301
Jephtastraat 51 Amsterdam,52.3809365,4.8453703
Czaar Peterstraat 49-A Amsterdam,52.3691326,4.9275353
Wethouder De Vriesplantsoen 15 Amsterdam,52.2942042,4.990286
Delta 97 Lelystad,52.5156264,5.4951979
Osbornehof 8 Dronten,52.5159857,5.7181417
Koning Willem-Alexanderplein 93 Dronten,52.5340765,5.7197085
Frans Halsplein 10 Haarlem,52.3902957,4.6395492
Robert Fruinlaan 13-2 Amsterdam,52.3637742,4.830825
Ambonstraat 42 Almere,52.404006,5.30456
Vollenhoveschans 90 Almere,52.3658054,5.2127157
Dijkgraafplein 73 Amsterdam,52.3554025,4.7875983
Geleen 9 Zwolle,52.5307354,6.0987365
De Klenckestraat 30 Almere,52.388618,5.2626536
Kruidendreef 53 Dronten,52.510864,5.717735
Wethouder Serrurierstraat 34 Amsterdam,52.2920754,4.9880038
Olivier van Noortstraat 4-N Almere,52.3544514,5.1373616
Olivier van Noortstraat 4-M Almere,52.3544747,5.1374225
Marktgracht 62 Almere,52.3371487,5.2176805
Wethouder Serrurierstraat 13 Amsterdam,52.2921621,4.9870649
Dick Bosstraat 61 Almere,52.4050015,5.3180725
Buitenhof 64 Almere,52.3416977,5.2177268
Waalstraat 168-3 Amsterdam,52.3417157,4.9016987
Koning Willem-Alexanderplein 95 Dronten,52.5340657,5.7197801
Thomsonstraat 260 Dronten,52.5149589,5.720745
Silvoldestraat 43 Amsterdam,52.2909498,4.9691792
Marktgracht 90 Almere,52.3360826,5.218311
Marktgracht 96 Almere,52.3360826,5.218311
Marktgracht 108 Almere,52.3360826,5.218311
Wethouder Serrurierstraat 26 Amsterdam,52.2920922,4.9876518
Van der Duijnstraat 37 Amsterdam,52.38453,4.8773912
De Pionier 8 Dronten,52.5326451,5.7216308
De Boeg 134 Dronten,52.5180276,5.7274947
Kogge 09 7 Lelystad,52.5168217,5.45524
Anne Kooistrahof 92 Amsterdam,52.2985755,4.9912585
Gitaarstraat 83 Almere,52.3704522,5.1837794
Betje Wolffstraat 12 Almere,52.3605269,5.1869723
Marktgracht 60 Almere,52.3371646,5.2175921
Marktgracht 70 Almere,52.3360826,5.218311
Marktgracht 78 Almere,52.3360826,5.218311
Marktgracht 128 Almere,52.3360826,5.218311
Marktgracht 102 Almere,52.3360826,5.218311
Hollywoodlaan 110 Almere,52.3695484,5.2319502
Elburgkade 100 Almere,52.3637607,5.2120761
Nachtegaalstraat 79 Amsterdam,52.3847865,4.9131987
1e Kekerstraat 41 Amsterdam,52.3141525,4.9810156
De Lepelaar 6 Dronten,52.5192436,5.7292306
Fellinilaan 144 Almere,52.360959,5.2373293
Koning Willem-Alexanderplein 121 Dronten,52.5341545,5.7190634
Groenlandstraat 45 Dronten,52.5227262,5.7233186
Smidshamer 68 Dronten,52.5374686,5.6841398
Zomer 72 Dronten,52.505957,5.7144874
Poortwachterstraat 10 Zwolle,52.5315543,6.0654956
Marktgracht 98 Almere,52.3360826,5.218311
Herfst 35 Dronten,52.5041555,5.7223388
Thomsonstraat 224 Dronten,52.5142061,5.7213987
Gors 45 Lelystad,52.5127856,5.4844339
Gipskruidweg 221 Almere,52.3819066,5.1948063
Marktgracht 88 Almere,52.3360826,5.218311
Marktgracht 94 Almere,52.3360826,5.218311
Cissy van Marxveldtstraat 26 Almere,52.3549279,5.1911206
Klaproos 51 Lelystad,52.4892056,5.4452307
Koning Willem-Alexanderplein 127 Dronten,52.5341547,5.718957
Willem Mulierhof 4 Amsterdam,52.3744227,4.7933765
Sijsjesstraat 18 Amsterdam,52.3861615,4.9176641
Merlijnplantsoen 32 Almere,52.3560574,5.1456389
IJburglaan 1464 Amsterdam,52.3523331,4.999982
Polanenstraat 105 Amsterdam,52.3895713,4.8772157
Van Noordtstraat 9-M Amsterdam,52.3890449,4.8801412
Polenstraat 292 Almere,52.3488823,5.1551169
Louis Davidsstraat 15 Amsterdam,52.3535147,4.8092299
Haarlemmerweg 485-D Amsterdam,52.3848754,4.8578074
Darja Collinstraat 7 Almere,52.3631787,5.2574904
Karel Appelstraat 58 Dronten,52.5342158,5.6871449
Salsastraat 149 Almere,52.3654303,5.2552001
Hogevecht 30 Amsterdam,52.3097818,4.9574465
Postjesweg 168 Amsterdam,52.3644139,4.8355986
Liendenhof 241 Amsterdam,52.3081603,4.9817888
Arondeusstraat 19 Amsterdam,52.3826165,4.8259325
John Franklinstraat 27-H Amsterdam,52.3716373,4.8539854
Van Spilbergenstraat 74-2 Amsterdam,52.3663886,4.8520231
Koraalstraat 26 Swifterbant,52.5704361,5.6390917
Karveel 55 4 Lelystad,52.5228474,5.4537933
Eaglelaan 11 Almere,52.3464395,5.2991771
Jupiterweg 5 Dronten,52.522265,5.7094073
Fannius Scholtenstraat 86-3 Amsterdam,52.3826692,4.8752825
Oosteinderweg 5 Wognum,52.6809501,5.0285719
Piccolostraat 69 Almere,52.3714261,5.1829817
Dukaat 62 Dronten,52.531041,5.7077766
Hoofdweg 414-3 Amsterdam,52.3737075,4.8486603
Rhijnvis Feithlaan 38 G23 0-ong Zwolle,,
Hertspieghelweg 16-3 Amsterdam,52.3803927,4.8522656
Bijsselseweg 11-126 Biddinghuizen,52.4222018,5.7535678
Zandbank 98 Lelystad,52.5151266,5.4838205
Kolfschotenstraat 310 Amsterdam,52.3157959,4.9677282
Bijsselseweg 11-128 Biddinghuizen,52.4219793,5.7533495
Jan van der Neuthof 8 Amsterdam,52.29773,4.9910755
Elckerlijcstraat 63 Amsterdam,52.3764273,4.847922
Van Beuningenstraat 65 Amsterdam,52.3844601,4.877862
Breukelengracht 45 Almere,52.3622821,5.2053115
