street,lat,lon,neighborhood,district,city,postcode,display_name
Wilhelminastraat,52.3052212,5.0420002,Weesp,Amsterdam,North Holland,1381 CL,"1, Wilhelminastraat, Weesp, Amsterdam, North Holland, Netherlands, 1381 CL, Netherlands"
Nieuwstraat,52.3082473,5.0415456,Nieuwstraat,Weesp,Amsterdam,1381 BB,"Pondok Java, 1, Nieuwstraat, Weesp, Amsterdam, North Holland, Netherlands, 1381 BB, Netherlands"
Bijlmerdreef,52.3237677,4.9800034,Zuidoost,Amsterdam,North Holland,1103 SG,"Bijlmerdreef, G-buurt, Zuidoost, Amsterdam, North Holland, Netherlands, 1103 SG, Netherlands"
Geervliet,52.3319028,4.8806655,Buitenveldert,Zuid,Amsterdam,1082 NL,"1, Geervliet, Buitenveldert, Zuid, Amsterdam, North Holland, Netherlands, 1082 NL, Netherlands"
Holy,52.3327453,4.8822258,Buitenveldert,Zuid,Amsterdam,1083 JK,"1, Holy, Buitenveldert, Zuid, Amsterdam, North Holland, Netherlands, 1083 JK, Netherlands"
Spangenhof,52.3334465,4.8822471,Zuidas,Zuid,Amsterdam,1083 JH,"1, Spangenhof, Zuidas, Zuid, Amsterdam, North Holland, Netherlands, 1083 JH, Netherlands"
Joan Muyskenweg,52.3337365,4.9139379,Amstel Business Park,Oost,Amsterdam,1096 CJ,"15A-1, Joan Muyskenweg, Amstel Business Park, Oost, Amsterdam, North Holland, Netherlands, 1096 CJ, Netherlands"
Hogewerf,52.3340284,4.8802926,Zuid,Amsterdam,North Holland,1082 NA,"Hogewerf, Zuidas, Zuid, Amsterdam, North Holland, Netherlands, 1082 NA, Netherlands"
De Boelelaan,52.3350243,4.873361,Zuid,Amsterdam,North Holland,1082 RR,"De Boelelaan, Zuidas, Zuid, Amsterdam, North Holland, Netherlands, 1082 RR, Netherlands"
Zuidelijke Wandelweg,52.3364112,4.9056746,Scheldebuurt,Zuid,Amsterdam,1079 RJ,"1, Zuidelijke Wandelweg, Scheldebuurt, Zuid, Amsterdam, North Holland, Netherlands, 1079 RJ, Netherlands"
Gustav Mahlerlaan,52.3366844,4.875037,Zuid,Amsterdam,North Holland,1082 MS,"Gustav Mahlerlaan, Zuidas, Zuid, Amsterdam, North Holland, Netherlands, 1082 MS, Netherlands"
Peelstraat,52.3389224,4.9010345,Scheldebuurt,Zuid,Amsterdam,1079 RN,"1, Peelstraat, Scheldebuurt, Zuid, Amsterdam, North Holland, Netherlands, 1079 RN, Netherlands"
Spaklerweg,52.3426904,4.9189878,Oost,Amsterdam,North Holland,1096 BA,"1, Spaklerweg, Oost, Amsterdam, North Holland, Netherlands, 1096 BA, Netherlands"
Amstelboulevard,52.343402,4.9149073,Amstelboulevard,Oost,Amsterdam,1096 HH,"Ode aan de Amstel, 1, Amstelboulevard, Oost, Amsterdam, North Holland, Netherlands, 1096 HH, Netherlands"
Winterdijk,52.3437168,4.9031154,Scheldebuurt,Zuid,Amsterdam,1079 GV,"40-1, Winterdijkstraat, Scheldebuurt, Zuid, Amsterdam, North Holland, Netherlands, 1079 GV, Netherlands"
Sint-Truidenstraat,52.344732,4.8125875,Sloterpolder,Nieuw-West,Sloten,1066 JP,"1, Sint-Truidenstraat, Sloterpolder, Nieuw-West, Sloten, Amsterdam, North Holland, Netherlands, 1066 JP, Netherlands"
Stadionplein,52.3447562,4.8583161,Stadionplein,Zuid,Amsterdam,1076 CE,"Stadion Sport, 1-H, Stadionplein, Zuid, Amsterdam, North Holland, Netherlands, 1076 CE, Netherlands"
Laan der Hesperiden,52.3453596,4.8565324,Olympisch Kwartier,Zuid,Amsterdam,1076 DK,"16-1, Laan der Hesperiden, Olympisch Kwartier, Zuid, Amsterdam, North Holland, Netherlands, 1076 DK, Netherlands"
Artemisstraat,52.3459462,4.8530766,Olympisch Kwartier,Zuid,Amsterdam,1076 DV,"1, Artemisstraat, Olympisch Kwartier, Zuid, Amsterdam, North Holland, Netherlands, 1076 DV, Netherlands"
Bart De Ligtstraat,52.3463885,4.9238964,Frankendael,Oost,Amsterdam,1097 JG,"1, Bart de Ligtstraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 JG, Netherlands"
Julianaplein,52.346391,4.9168755,Julianaplein,Oost,Amsterdam,1097 DN,"The Döner Company, 1, Julianaplein, Oost, Amsterdam, North Holland, Netherlands, 1097 DN, Netherlands"
Anton Constandsestraat,52.3469534,4.9224043,Oost,Amsterdam,North Holland,1097 HX,"Anton Constandsestraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 HX, Netherlands"
Clara Meyer-wichmannstraat,52.3472149,4.9228432,Oost,Amsterdam,North Holland,1097 HW,"Clara Meyer-Wichmannstraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 HW, Netherlands"
Chopinstraat,52.3477265,4.8797952,Apollobuurt,Zuid,Amsterdam,1077 GL,"1, Chopinstraat, Apollobuurt, Zuid, Amsterdam, North Holland, Netherlands, 1077 GL, Netherlands"
Maliebaan,52.3477913,4.9228004,Oost,Amsterdam,North Holland,1097 HL,"Maliebaan, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 HL, Netherlands"
Minckelersstraat,52.3481581,4.9329185,Frankendael,Oost,Amsterdam,1097 KE,"1A, Minckelersstraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 KE, Netherlands"
Henri Dunantstraat,52.3482181,4.8290542,Nieuw-West,Amsterdam,North Holland,1066 AW,"Henri Dunantstraat, Park Haagseweg, Nieuw-West, Amsterdam, North Holland, Netherlands, 1066 AW, Netherlands"
Elisabeth Boddaertstraat,52.3486351,4.830002,Park Haagseweg,Nieuw-West,Amsterdam,1066 BG,"52-1, Elisabeth Boddaertstraat, Park Haagseweg, Nieuw-West, Amsterdam, North Holland, Netherlands, 1066 BG, Netherlands"
Fibigerstraat,52.3490366,4.9344318,Frankendael,Oost,Amsterdam,1097 KA,"1, Fibigerstraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 KA, Netherlands"
Pierre Lallementstraat,52.3497787,4.9225727,Frankendael,Oost,Amsterdam,1097 JR,"1, Pierre Lallementstraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 JR, Netherlands"
Diepenbeekplantsoen,52.3501097,4.8187996,Sloterpolder,Nieuw-West,Amsterdam,1066 KE,"1, Diepenbeekplantsoen, Sloterpolder, Nieuw-West, Amsterdam, North Holland, Netherlands, 1066 KE, Netherlands"
Ottho Heldringstraat,52.3510909,4.8326697,Westlandgracht,Nieuw-West,Amsterdam,1066 AZ,"1, Ottho Heldringstraat, Westlandgracht, Nieuw-West, Amsterdam, North Holland, Netherlands, 1066 AZ, Netherlands"
Stephensonstraat,52.3513862,4.922041,Frankendael,Oost,Amsterdam,1097 AS,"1, Stephensonstraat, Frankendael, Oost, Amsterdam, North Holland, Netherlands, 1097 AS, Netherlands"
Ijburglaan,52.3522403,5.0004512,Oost,Amsterdam,North Holland,1087 KG,"IJburglaan, IJburg, Oost, Amsterdam, North Holland, Netherlands, 1087 KG, Netherlands"
Fregelaan,52.3528372,4.8389797,Westlandgracht,Nieuw-West,Amsterdam,1062 KK,"1, Fregelaan, Westlandgracht, Nieuw-West, Amsterdam, North Holland, Netherlands, 1062 KK, Netherlands"
Bert Haanstrakade,52.3529931,5.0084901,Oost,Amsterdam,North Holland,1087 HP,"Bert Haanstrakade, IJburg, Oost, Amsterdam, North Holland, Netherlands, 1087 HP, Netherlands"
Rudi Bloemgartensingel,52.354138,4.7828593,De Punt,Nieuw-West,Sloten,1069 PR,"1, Rudi Bloemgartensingel, De Punt, Nieuw-West, Sloten, Amsterdam, North Holland, Netherlands, 1069 PR, Netherlands"
Wittgensteinlaan,52.355222,4.8355266,Westlandgracht,Nieuw-West,Amsterdam,1062 KA,"1, Wittgensteinlaan, Westlandgracht, Nieuw-West, Amsterdam, North Holland, Netherlands, 1062 KA, Netherlands"
Pieter Calandlaan,52.3560789,4.833065,Pieter Calandlaan,Slotervaart,Nieuw-West,1065 KH,"IND desk Amsterdam, 1, Pieter Calandlaan, Slotervaart, Nieuw-West, Amsterdam, North Holland, Netherlands, 1065 KH, Netherlands"
Bonhoeffersingel,52.3564099,4.777221,De Aker,Nieuw-West,Amsterdam,1069 NB,"1, Bonhoeffersingel, De Aker, Nieuw-West, Amsterdam, North Holland, Netherlands, 1069 NB, Netherlands"
Wibautstraat,52.3576371,4.9093344,Weesperzijde,Oost,Amsterdam,1091 GM,"24-1, Wibautstraat, Weesperzijde, Oost, Amsterdam, North Holland, Netherlands, 1091 GM, Netherlands"
Daguerrestraat,52.3579112,4.9908468,IJburg,Oost,Amsterdam,1087 BR,"1, Daguerrestraat, IJburg, Oost, Amsterdam, North Holland, Netherlands, 1087 BR, Netherlands"
