location,description,availability,surface_m2,bedrooms,price,url,price_per_m2,lat,lon,date_scraped,is_new,address,neighborhood
Amsterdam,Amsterdam,Beschikbaar per 01-09-2025,61,2,1472,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26835/woning-pierre-lallementstraat-716,24.131147540983605,52.3497787,4.9225727,56:54.3,False,Pierre Lallementstraat 716,Frankendael
Amsterdam,Amsterdam,Beschikbaar per 18-08-2025,59,2,1497,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26836/woning-pierre-lallementstraat-806,25.372881355932204,52.3497787,4.9225727,56:54.3,False,Pierre Lallementstraat 806,Frankendael
Amsterdam,Amsterdam,Beschikbaar per 19-08-2025,87,2,1720,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26833/woning-hogewerf-207,19.770114942528732,52.3340284,4.8802926,56:54.3,False,Hogewerf 207,Zuid
Amsterdam,Amsterdam,Beschikbaar per 20-08-2025,81,2,1619,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26830/woning-holy-11,19.98765432098765,52.3327453,4.8822258,56:54.3,False,Holy 11,Buitenveldert
Amsterdam,Amsterdam,Beschikbaar per 04-08-2025,75,2,1149,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26829/woning-gustav-mahlerlaan-793,15.32,52.3366844,4.875037,56:54.3,False,Gustav Mahlerlaan 793,Zuid
Amsterdam,Amsterdam,Onder optie,112,0,2801,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26827/woning-stadionplein-220,25.008928571428573,52.3447562,4.8583161,56:54.3,False,Stadionplein 220,Stadionplein
Amsterdam,Amsterdam,Beschikbaar per 01-09-2025,85,0,1639,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26828/woning-rjh-fortuynplein-128,19.28235294117647,52.3714449,4.9470997,56:54.3,False,R.J.H. Fortuynplein 128,Borneo-eiland
Amsterdam,Amsterdam,Beschikbaar per 01-09-2025,90,2,1612,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26819/woning-wittgensteinlaan-90,17.91111111111111,52.355222,4.8355266,56:54.3,False,Wittgensteinlaan 90,Westlandgracht
Amsterdam,Amsterdam,Onder optie,104,3,2396,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26817/woning-fibigerstraat-9,23.03846153846154,52.3490366,4.9344318,56:54.3,False,Fibigerstraat 9,Frankendael
Amsterdam,Amsterdam,Beschikbaar per 18-08-2025,84,2,1700,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26816/woning-geervliet-72,20.23809523809524,52.3319028,4.8806655,56:54.3,False,Geervliet 72,Buitenveldert
Amsterdam,Amsterdam,Beschikbaar per 06-08-2025,81,2,1619,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26805/woning-geervliet-177,19.98765432098765,52.3319028,4.8806655,56:54.3,False,Geervliet 177,Buitenveldert
Amsterdam,Amsterdam,Onder optie,93,2,1944,https://www.wonenbijbouwinvest.nlhttps://www.wonenbijbouwinvest.nl/huuraanbod/26795/woning-stephensonstraat-4-d,20.90322580645161,52.3513862,4.922041,56:54.3,False,Stephensonstraat 4-D,Frankendael
