title,address,available_from,price_per_month,surface_m2,bedrooms,link,status,available_from_date,available_from_note,is_available,is_new,is_active,date_scraped
Herenstraat 47 A,2671HZ Naaldwijk,"08-09-2025
                                    
Direct inschrijven via deze site
Nieuw",993,64,1,https://ikwilhuren.nu/object/naaldwijk-2671hz-47-a-herenstraat-fee852444316a9b90e140d8897601104/,Te huur,08/9/2025,"Direct inschrijven via deze site
Nieuw",TRUE,FALSE,TRUE,07/10/2025
Ouvertureweg 179,2402DV Alphen A/d Rijn,,1025,67,1,https://ikwilhuren.nu/object/alphen-a-d-rijn-2402dv-179-ouvertureweg-e45e26702901c014ccb0576a820ee78f/,Te huur,,,TRUE,FALSE,TRUE,07/10/2025
Buikslotermeerplein 1930,1025XL Amsterdam,,1061,51,1,https://ikwilhuren.nu/object/amsterdam-1025xl-1930-buikslotermeerplein-136a59b8adf88c07414aa8577f6c6c87/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Smeetsmastins 88,8925GT Leeuwarden,"01-09-2025
                                    
Direct inschrijven via deze site
Nieuw",1080,94,2,https://ikwilhuren.nu/object/leeuwarden-8925gt-88-smeetsmastins-f8a8ca1260e28eb53e5a76f5e1dda001/,Te huur,01/9/2025,"Direct inschrijven via deze site
Nieuw",TRUE,FALSE,TRUE,07/10/2025
Molenwerf + PPL 100 10 C6,1014BG Amsterdam,,1119,56,1,https://ikwilhuren.nu/object/amsterdam-1014bg-10-c6-molenwerf-ppl-100-4b1805ff4d019452472e6fbdea67956a/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Buikslotermeerplein 1884,1025XL Amsterdam,"16-08-2025
                                    
Direct inschrijven via deze site",1125,59,1,https://ikwilhuren.nu/object/amsterdam-1025xl-1884-buikslotermeerplein-dbfc67bd76718b19b16a3f359336ce0a/,Te huur,16-08-2025,Direct inschrijven via deze site,TRUE,TRUE,TRUE,07/10/2025
Molenwerf + PPL 136 8 E1,1014AG Amsterdam,,1165,67,1,https://ikwilhuren.nu/object/amsterdam-1014ag-8-e1-molenwerf-ppl-136-41df190b40526fc141e1a52b52a94fdd/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Molenwerf + PPL 101 10 C5,1014BG Amsterdam,,1178,66,1,https://ikwilhuren.nu/object/amsterdam-1014bg-10-c5-molenwerf-ppl-101-0947327f9a89aca5b2bfeeb067c6b590/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Molenwerf + PPL 95 10 D3,1014BG Amsterdam,,1185,61,1,https://ikwilhuren.nu/object/amsterdam-1014bg-10-d3-molenwerf-ppl-95-c136bc1b7134ac7ddb82285605b7a9f6/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Molenwerf + PPL 139 8 D4,1014AG Amsterdam,,1185,61,1,https://ikwilhuren.nu/object/amsterdam-1014ag-8-d4-molenwerf-ppl-139-3fe3cee01d1c9bec86042c3a419ed868/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Postjesweg 171 P,1062JN Amsterdam,,1185,47,1,https://ikwilhuren.nu/object/amsterdam-1062jn-171-p-postjesweg-0d63ec67edee05370d8d339bfc1c0094/,Verhuurd onder voorbehoud,,,FALSE,TRUE,TRUE,07/10/2025
Postjesweg 167 K,1062JN Amsterdam,,1185,43,1,https://ikwilhuren.nu/object/amsterdam-1062jn-167-k-postjesweg-f78c04de48e2babdb09a0ff907bc86d4/,Verhuurd,,,FALSE,TRUE,TRUE,07/10/2025
