python_file,url,full_adres,city,price,area,num_rooms,available
020_makelaar.py,https://www.020makelaars.nl/detail/rozengracht-247-c/68529c85a8f12d0b7bfc5bd7,Rozengracht247-C in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/marco-polostraat-276-2/684aa55ee3ff99e00f5bf137,Marco Polostraat276-2 in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/houthavenkade-9/683fe81820821932d8a6cc06,Houthavenkade9 in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/knsm-laan-415/683eb9c8b3d04eefa1dd296b,KNSM-laan415 in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/hoogte-kadijk-161-3/6836e5e08a1539e40eb7a7bf,Hoogte Kadijk161-3 in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/keizersgracht-26-d/683094b71f81236cee2290cd,Keizersgracht26-D in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/van-ostadestraat-210-4/6830a2c29cfc69debaed8440,Van Ostadestraat210-4 in Amsterdam,Amsterdam,,,,Beschikbaar
020_makelaar.py,https://www.020makelaars.nl/detail/potgieterstraat-73-4/68271ae4fcdc213ba5fe2ba1,Potgieterstraat73-4 in Amsterdam,Amsterdam,,,,Verkocht
020_makelaar.py,https://www.020makelaars.nl/detail/osdorperweg-496/67cffb93b4e3ea268be19bd3,Osdorperweg496 in Amsterdam,Amsterdam,,,,Verkocht
020_makelaar.py,https://www.020makelaars.nl/detail/hoogte-kadijk-161-2/6814d74fb7fc99f1a36e1b3e,Hoogte Kadijk161-2 in Amsterdam,Amsterdam,,,,Onder bod
020_makelaar.py,https://www.020makelaars.nl/detail/van-linschotenstraat-39/681dee6c306cc555517c7cc0,Van Linschotenstraat39 in Amsterdam,Amsterdam,,,,Beschikbaar
