python_file,url,full_adres,city,price,area,num_rooms,available,street,number_extension,full_address_processed,full_address_streets,latitude,longitude
020_makelaar.py,https://www.020makelaars.nl/detail/zomerdijkstraat-10-2/685909e909ebd6eda859bdd4,Zomerdijkstraat10-2 in Amsterdam,Amsterdam,,,,Beschikbaar,Zomerdijkstraat,10-2,Zomerdijkstraat 10-2 Amsterdam,Zomerdijkstraat Amsterdam,52.3425897,4.9043603
020_makelaar.py,https://www.020makelaars.nl/detail/rozengracht-247-c/68529c85a8f12d0b7bfc5bd7,Rozengracht247-C in Amsterdam,Amsterdam,,,,Beschikbaar,Rozengracht,247-C,Rozengracht 247-C Amsterdam,Rozengracht Amsterdam,52.3718578,4.8751437
020_makelaar.py,https://www.020makelaars.nl/detail/marco-polostraat-276-2/684aa55ee3ff99e00f5bf137,Marco Polostraat276-2 in Amsterdam,Amsterdam,,,,Beschikbaar,Marco Polostraat,276-2,Marco Polostraat 276-2 Amsterdam,Marco Polostraat Amsterdam,52.3724511,4.8550631
020_makelaar.py,https://www.020makelaars.nl/detail/houthavenkade-9/683fe81820821932d8a6cc06,Houthavenkade9 in Amsterdam,Amsterdam,,,,Beschikbaar,Houthavenkade,9,Houthavenkade 9 Amsterdam,Houthavenkade Amsterdam,52.3942995,4.8771998
020_makelaar.py,https://www.020makelaars.nl/detail/knsm-laan-415/683eb9c8b3d04eefa1dd296b,KNSM-laan415 in Amsterdam,Amsterdam,,,,Beschikbaar,KNSM-laan,415,KNSM-laan 415 Amsterdam,KNSM-laan Amsterdam,52.3773912,4.941372
020_makelaar.py,https://www.020makelaars.nl/detail/hoogte-kadijk-161-3/6836e5e08a1539e40eb7a7bf,Hoogte Kadijk161-3 in Amsterdam,Amsterdam,,,,Beschikbaar,Hoogte Kadijk,161-3,Hoogte Kadijk 161-3 Amsterdam,Hoogte Kadijk Amsterdam,52.3676757,4.9203559
020_makelaar.py,https://www.020makelaars.nl/detail/keizersgracht-26-d/683094b71f81236cee2290cd,Keizersgracht26-D in Amsterdam,Amsterdam,,,,Beschikbaar,Keizersgracht,26-D,Keizersgracht 26-D Amsterdam,Keizersgracht Amsterdam,52.3789251,4.8887642
020_makelaar.py,https://www.020makelaars.nl/detail/van-ostadestraat-210-4/6830a2c29cfc69debaed8440,Van Ostadestraat210-4 in Amsterdam,Amsterdam,,,,Beschikbaar,Van Ostadestraat,210-4,Van Ostadestraat 210-4 Amsterdam,Van Ostadestraat Amsterdam,52.3526155,4.8957595
020_makelaar.py,https://www.020makelaars.nl/detail/potgieterstraat-73-4/68271ae4fcdc213ba5fe2ba1,Potgieterstraat73-4 in Amsterdam,Amsterdam,,,,Verkocht,Potgieterstraat,73-4,Potgieterstraat 73-4 Amsterdam,Potgieterstraat Amsterdam,52.3688922,4.8713012
020_makelaar.py,https://www.020makelaars.nl/detail/osdorperweg-496/67cffb93b4e3ea268be19bd3,Osdorperweg496 in Amsterdam,Amsterdam,,,,Verkocht,Osdorperweg,496,Osdorperweg 496 Amsterdam,Osdorperweg Amsterdam,52.3653696,4.7857749
020_makelaar.py,https://www.020makelaars.nl/detail/hoogte-kadijk-161-2/6814d74fb7fc99f1a36e1b3e,Hoogte Kadijk161-2 in Amsterdam,Amsterdam,,,,Onder bod,Hoogte Kadijk,161-2,Hoogte Kadijk 161-2 Amsterdam,Hoogte Kadijk Amsterdam,52.3676755,4.9203558
020_makelaar.py,https://www.020makelaars.nl/detail/van-linschotenstraat-39/681dee6c306cc555517c7cc0,Van Linschotenstraat39 in Amsterdam,Amsterdam,,,,Beschikbaar,Van Linschotenstraat,39,Van Linschotenstraat 39 Amsterdam,Van Linschotenstraat Amsterdam,52.3892555,4.8874729
