broker_name,broker_url,full_adres,url,city,price,area,num_rooms,available,price_per_m2
KIJCK. makelaars (Almere),https://kijck.nl/aanbod/almere-denemarkenstraat-114,Sloterweg 1017,https://kijck.nl/aanbod/amsterdam-sloterweg-1017,Amsterdam,1950000.0,269.0,9,Beschikbaar,7249.0
KIJCK. makelaars (Almere),https://kijck.nl/aanbod/almere-denemarkenstraat-114,Lutonhof 497,https://kijck.nl/aanbod/amsterdam-lutonhof-497,Amsterdam,1150000.0,152.0,3,Beschikbaar,7566.0
KIJCK. makelaars (Almere),https://kijck.nl/aanbod/almere-denemarkenstraat-114,Nieuwe Leliestraat 1291,https://kijck.nl/aanbod/amsterdam-nieuwe-leliestraat-1291,Amsterdam,1200000.0,128.0,6,Beschikbaar,9375.0
KIJCK. makelaars (Almere),https://kijck.nl/aanbod/almere-denemarkenstraat-114,Kamerlingh Onneslaan 24,https://kijck.nl/aanbod/amsterdam-kamerlingh-onneslaan-24,Amsterdam,1050000.0,131.0,5,Beschikbaar,8015.0
KIJCK. makelaars (Almere),https://kijck.nl/aanbod/almere-denemarkenstraat-114,Het Breed 783,https://kijck.nl/aanbod/amsterdam-het-breed-783,Amsterdam,400000.0,86.0,3,Verkocht onder voorbehoud,4651.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Postjesweg 191,https://www.grootamsterdam.nl/woningen/postjesweg-191-amsterdam-937273811027be1c06488cbd319166405bfde9/,Amsterdam,4000000.0,80.0,,Onbekend,50000.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Nova Zemblastraat 355,https://www.grootamsterdam.nl/woningen/nova-zemblastraat-355-amsterdam-937273956e5f4052ae4a8ab3062bf320218522/,Amsterdam,4750000.0,65.0,,Verkocht onder voorbehoud,73077.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Bloys van Treslongstraat 30,https://www.grootamsterdam.nl/woningen/bloys-van-treslongstraat-30-h-amsterdam-9372734e28a3ca30c041189e10141424c55325/,Amsterdam,4250000.0,50.0,,Verkocht,85000.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Weerdestein 175,https://www.grootamsterdam.nl/woningen/weerdestein-175-amsterdam-93727357d07167344643c393969ca4dc819287/,Amsterdam,3990000.0,53.0,,Verkocht,75283.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Westermarkt 3,https://www.grootamsterdam.nl/woningen/westermarkt-3-a-amsterdam-93727339ec74a296914baba00a4bafd175a9ec/,Amsterdam,3250000.0,35.0,,Verkocht,92857.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Hudsonstraat 85,https://www.grootamsterdam.nl/woningen/hudsonstraat-85-2-amsterdam-93727384c2c15f1bc94b0da6ff12c5ad350e94/,Amsterdam,3950000.0,49.0,,Verkocht,80612.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Spaarndammerstraat 45,https://www.grootamsterdam.nl/woningen/spaarndammerstraat-45-1a-amsterdam-937273bfadc2e6b6294a5c8d199d5c66b8fdf4/,Amsterdam,2750000.0,29.0,,Verkocht,94828.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Pieter Calandlaan 500,https://www.grootamsterdam.nl/woningen/pieter-calandlaan-500-amsterdam-9372734e3d993d5d6d4b4ca043cbc183e94b97/,Amsterdam,4000000.0,89.0,,Verkocht,44944.0
Groot Amsterdam Makelaardij B.V.,https://www.grootamsterdam.nl/,Bilderdijkkade 89,https://www.grootamsterdam.nl/woningen/bilderdijkkade-89-3v-amsterdam-93727325cb95c5e932474e98fddd21fa2a31a2/,Amsterdam,3750000.0,37.0,,Verkocht,101351.0
