full_address_processed,latitude,longitude
"Van Hallstraat 1, Amsterdam",52.3807566,4.8715009
"Damstraat 2, Amsterdam",52.3723826,4.8940176
"Nieuwstraat 3, Amsterdam",52.3081928,5.0415796
Rozengracht 247-C Amsterdam,52.3718578,4.8751437
Marco Polostraat 276-2 Amsterdam,52.3724511,4.8550631
Houthavenkade 9 Amsterdam,52.3942995,4.8771998
KNSM-laan 415 Amsterdam,52.3773912,4.941372
Hoogte Kadijk 161-3 Amsterdam,52.3676757,4.9203559
Keizersgracht 26-D Amsterdam,52.3789251,4.8887642
Van Ostadestraat 210-4 Amsterdam,52.3526155,4.8957595
Potgieterstraat 73-4 Amsterdam,52.3688922,4.8713012
Osdorperweg 496 Amsterdam,52.3653696,4.7857749
Hoogte Kadijk 161-2 Amsterdam,52.3676755,4.9203558
Van Linschotenstraat 39 Amsterdam,52.3892555,4.8874729
Eerste Jan van der Heijdenstraat 32-3 Amsterdam,52.3529107,4.8878235
Eerste Jan van der Heijdenstraat 42-4V Amsterdam,52.3529744,4.8882927
Tuinstraat 48-1 Amsterdam,52.3775312,4.8843153
Eerste Jan van der Heijdenstraat 46 H Amsterdam,52.353002,4.8884688
Eerste Jan van der Heijdenstraat 48-4V Amsterdam,52.3530116,4.8885569
Populierenlaan 533 Amsterdam,52.33468,4.9116743
Veerstraat 46-H Amsterdam,52.3515413,4.8540216
van Ostadestraat 144-4B Amsterdam,52.3521587,4.8926879
Eerste Jan van der Heijdenstraat 44-1 Amsterdam,52.3529939,4.8883803
Eerste Jan van der Heijdenstraat 32-H Amsterdam,52.3529094,4.8878245
Brouwersgracht 169-4 Amsterdam,52.3820517,4.8851158
Rooseveltlaan 8-2 Amsterdam,52.3454485,4.9023921
Vespuccistraat 99-1 1056SK Amsterdam,52.3725388,4.8525948
Akerwateringstraat 73 1069GB Amsterdam,52.3546164,4.7850401
Ruiseveenpad 88 1106AN Amsterdam,52.2970856,4.9760556
Schinkelkade 58 H Amsterdam,52.3504201,4.8526417
Vatternkade 51 Amsterdam,52.3496708,4.7810562
Geuzenkade 78 1 Amsterdam,52.3745497,4.8641278
Amsterdam,52.3730796,4.8924534
